Kecamatan,Jumlah Penduduk,Kepadatan Penduduk,Sarana Pendidikan,Sarana Kesehatan,Transportasi,Sarana Perdagangan dan Jasa,Keberadaan Pasar dan Pertokoan,Bank dan Koperasi,IKM dan Sentra
Alang-Alang Lebar,116.594,4.824,16,25,8,13,10,7,4
Bukit Kecil,38.195,16.048,19,26,12,17,10,12,7
Gandus,83.882,1.690,20,28,10,11,8,4,6
Ilir Barat I,154.738,3.854,30,45,12,22,11,10,6
Ilir Barat II,69.871,16.716,21,28,14,15,5,2,9
Ilir Timur I,66.124,12.765,34,39,22,35,15,23,10
Ilir Timur II,85.005,10.072,29,27,12,19,6,8,7
Ilir Timur III,74.562,9.510,22,23,12,20,7,8,6
Jakabaring,94.583,8.070,24,27,10,19,9,5,5
Kalidoni,133.017,4.034,19,30,10,10,6,6,6
Kemuning,82.167,12.622,31,39,12,20,14,15,7
Kertapati,99.576,2.423,20,24,12,11,13,3,3
Plaju,99.559,6.027,29,33,14,13,10,7,7
Sako,117.573,6.840,17,19,8,9,7,6,4
Seberang Ulu I,96.058,15.799,21,25,10,11,10,5,8
Seberang Ulu II,106.752,12.785,28,29,14,13,2,6,7
Sematang Borang,70.870,2.742,12,23,8,7,7,1,4
Sukarami,212.241,5.295,36,46,14,25,19,9,10
